Year,DOY,Hour,Kp
2000,1,0,23
2001,1,0,20
2002,1,0,23
2003,1,0,30
2004,1,0,23
2005,1,0,20
2006,1,0,17
2007,1,0,17
2008,1,0,13
2009,1,0,10
2010,1,0,13
2011,1,0,13
2012,1,0,17
2013,1,0,13
2014,1,0,17
2015,1,0,20
2016,1,0,20
2017,1,0,20
2018,1,0,13
2019,1,0,13
2020,1,0,13
2021,1,0,13
2022,1,0,20
