Year,DOY,Hour,Kp
2022,354,0,13
2022,355,0,20
2022,356,0,23
2022,357,0,33
2022,358,0,37
2022,359,0,20
2022,360,0,33
2022,361,0,37
2022,362,0,10
2022,363,0,20
2022,364,0,40
2022,365,0,30
